payment_option_id,request_id,payment_method,payment_amount,number_of_payments,first_payment_date,payment_frequency_days,financing_fee,total_payable_amount
payment_option_743,request_258,installments,70.53,18,2026-01-10,31,155.94,1269.54
payment_option_744,request_258,installments,200.45,6,2026-01-14,28,89.1,1202.7
payment_option_745,request_258,installments,56.61,24,2026-01-21,30,245.04,1358.64
payment_option_746,request_259,full_payment,935,1,2024-09-04,,0,935
payment_option_747,request_259,installments,52.54,21,2024-09-11,28,168.34,1103.34
payment_option_748,request_260,full_payment,52079000,1,2025-02-06,,0,52079000
payment_option_749,request_260,installments,3819126.67,15,2025-02-20,30,5207900.05,57286900.05
payment_option_750,request_260,installments,2647349.17,24,2025-02-09,28,11457380.08,63536380.08
payment_option_751,request_261,full_payment,1830.4,1,2026-07-03,,0,1830.4
payment_option_752,request_261,installments,115.93,18,2026-07-03,31,256.34,2086.74
payment_option_753,request_261,installments,329.47,6,2026-07-06,28,146.42,1976.82
payment_option_754,request_262,full_payment,9236000,1,2024-12-05,,0,9236000
payment_option_755,request_262,installments,455202.86,21,2024-12-08,28,323260.06,9559260.06
payment_option_756,request_262,installments,404075,24,2024-12-19,31,461800,9697800
payment_option_757,request_263,full_payment,51546,1,2025-05-07,,0,51546
payment_option_758,request_263,installments,3780.04,15,2025-05-14,30,5154.6,56700.6
payment_option_759,request_264,full_payment,111300,1,2026-04-04,,0,111300
payment_option_760,request_264,installments,7049,18,2026-04-18,31,15582,126882
payment_option_761,request_264,installments,5657.75,24,2026-04-07,30,24486,135786
payment_option_762,request_265,full_payment,45970,1,2024-03-06,,0,45970
payment_option_763,request_265,installments,2265.67,21,2024-03-06,28,1609.07,47579.07
payment_option_764,request_266,installments,324.13,3,2025-08-03,28,37.39,972.39
payment_option_765,request_266,full_payment,935,1,2025-08-03,,0,935
payment_option_766,request_266,installments,68.57,15,2025-08-06,30,93.55,1028.55
payment_option_767,request_267,installments,667.33,3,2026-01-08,30,76.99,2001.99
payment_option_768,request_267,full_payment,1925,1,2026-01-05,,0,1925
payment_option_769,request_267,installments,121.92,18,2026-01-12,31,269.56,2194.56
payment_option_770,request_268,installments,841.22,3,2024-06-14,31,97.06,2523.66
payment_option_771,request_268,full_payment,2426.6,1,2024-06-07,,0,2426.6
payment_option_772,request_268,installments,136.35,21,2024-06-21,28,436.75,2863.35
payment_option_773,request_269,full_payment,15490,1,2025-11-04,,0,15490
payment_option_774,request_269,installments,1068.81,15,2025-11-04,30,542.15,16032.15
payment_option_775,request_270,full_payment,3028.8,1,2026-07-06,,0,3028.8
payment_option_776,request_270,installments,191.82,18,2026-07-09,31,423.96,3452.76
payment_option_777,request_270,installments,153.96,24,2026-07-20,30,666.24,3695.04
payment_option_778,request_271,full_payment,91300,1,2024-09-03,,0,91300
payment_option_779,request_271,installments,5130.19,21,2024-09-10,28,16433.99,107733.99
payment_option_780,request_272,installments,4709466.67,3,2025-02-12,28,543400.01,14128400.01
payment_option_781,request_272,full_payment,13585000,1,2025-02-05,,0,13585000
payment_option_782,request_272,installments,996233.33,15,2025-02-19,30,1358499.95,14943499.95
payment_option_783,request_273,full_payment,15861000,1,2026-04-07,,0,15861000
payment_option_784,request_273,installments,5498480,3,2026-04-07,28,634440,16495440
payment_option_785,request_274,installments,940.75,3,2024-12-04,31,108.55,2822.25
payment_option_786,request_274,full_payment,2713.7,1,2024-12-04,,0,2713.7
payment_option_787,request_274,installments,152.48,21,2024-12-07,28,488.38,3202.08
payment_option_788,request_275,full_payment,15884000,1,2025-05-06,,0,15884000
payment_option_789,request_275,installments,1164826.67,15,2025-05-13,30,1588400.05,17472400.05
payment_option_790,request_275,installments,2859120,6,2025-05-20,31,1270720,17154720
